Bat Or Bowl,Ground,Opposition,Player,Start Date,team,4S,6S,Bat sum,Bb Bf,Bowl Sum,Econ,Inns,Mdns,Mins,Not Out,Overs,Runs,Runs Per Ball,Sr,Wicketball Prob,Wkts
bowl,Chennai,v South Africa,Shaheen Shah Afridi (PAK),27-10-2023,PAKISTAN,,,0,60,45,4.5,2,0,,,10,45,0.75,,0.05,3
bowl,Lucknow,v India,DJ Willey (ENG),29-10-2023,ENGLAND,,,0,60,45,4.5,1,2,,,10,45,0.75,,0.05,3
bowl,Ahmedabad,v England,MJ Henry (NZ),05-10-2023,NEW ZEALAND,,,0,60,48,4.8,1,1,,,10,48,0.8,,0.05,3
bowl,Chennai,v Bangladesh,LH Ferguson (NZ),13-10-2023,NEW ZEALAND,,,0,60,49,4.9,1,0,,,10,49,0.816666667,,0.05,3
bowl,Chennai,v Pakistan,Noor Ahmad (AFG),23-10-2023,AFGHANISTAN,,,0,60,49,4.9,1,0,,,10,49,0.816666667,,0.05,3
bowl,Delhi,v England,Mujeeb Ur Rahman (AFG),15-10-2023,AFGHANISTAN,,,0,60,51,5.1,2,1,,,10,51,0.85,,0.05,3
bowl,Pune,v Netherlands,AU Rashid (ENG),08-11-2023,ENGLAND,,,0,48,54,6.75,2,0,,,8,54,1.125,,0.0625,3
bowl,Dharamsala,v South Africa,LV van Beek (NED),17-10-2023,NETHERLAND,,,0,53,60,6.79,2,0,,,8.5,60,1.132075472,,0.056603774,3
bowl,Eden Gardens,v Pakistan,Mehidy Hasan Miraz (BAN),31-10-2023,BANGLADESH,,,0,54,60,6.66,2,0,,,9,60,1.111111111,,0.055555556,3
bowl,Bengaluru,v New Zealand,Mohammad Wasim (1) (PAK),04-11-2023,PAKISTAN,,,0,60,60,6,1,0,,,10,60,1,,0.05,3
bowl,Wankhede,v Bangladesh,G Coetzee (SA),24-10-2023,SOUTH AFRICA,,,0,60,62,6.2,2,0,,,10,62,1.033333333,,0.05,3
bowl,Delhi,v Sri Lanka,G Coetzee (SA),07-10-2023,SOUTH AFRICA,,,0,54,68,7.55,2,0,,,9,68,1.259259259,,0.055555556,3
bowl,Delhi,v Bangladesh,D Madushanka (SL),06-11-2023,SRI LANKA,,,0,60,69,6.9,2,1,,,10,69,1.15,,0.05,3
bowl,Dharamsala,v New Zealand,A Zampa (AUS),28-10-2023,AUSTRALIA,,,0,60,74,7.4,2,0,,,10,74,1.233333333,,0.05,3
bowl,Pune,v England,BFW de Leede (NED),08-11-2023,NETHERLAND,,,0,60,74,7.4,1,0,,,10,74,1.233333333,,0.05,3
bowl,Dharamsala,v England,Shoriful Islam (BAN),10-10-2023,BANGLADESH,,,0,60,75,7.5,1,0,,,10,75,1.25,,0.05,3
bowl,Dharamsala,v Australia,TA Boult (NZ),28-10-2023,NEW ZEALAND,,,0,60,77,7.7,1,0,,,10,77,1.283333333,,0.05,3
bowl,Delhi,v Sri Lanka,Tanzim Hasan Sakib (BAN),06-11-2023,BANGLADESH,,,0,60,80,8,1,0,,,10,80,1.333333333,,0.05,3
